# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
16.598268;-9.838545;67.911436;-1.007774;-0.009144;7.500000;0.000000
16.798247;-9.731949;67.742233;-1.009393;-0.007050;7.500000;0.000000
16.998227;-9.625596;67.572887;-1.010593;-0.004955;7.500000;0.000000
17.198206;-9.519415;67.403441;-1.011375;-0.002860;7.500000;0.000000
17.398185;-9.413332;67.233937;-1.011737;-0.000765;7.500000;0.000000
17.598164;-9.307276;67.064418;-1.011681;0.001331;7.500000;0.000000
17.798143;-9.201175;66.894929;-1.011205;0.003427;7.500000;0.000000
17.998122;-9.094958;66.725511;-1.010317;0.005131;7.500000;0.000000
18.198101;-8.988577;66.556202;-1.009314;0.004895;7.500000;0.000000
18.398081;-8.882028;66.386993;-1.008359;0.004659;7.500000;0.000000
18.598060;-8.775320;66.217880;-1.007451;0.004423;7.500000;0.000000
18.798039;-8.668459;66.048857;-1.006590;0.004187;7.500000;0.000000
18.998018;-8.561454;65.879919;-1.005777;0.003950;7.500000;0.000000
19.197997;-8.454312;65.711061;-1.005011;0.003714;7.500000;0.000000
19.397976;-8.347042;65.542277;-1.004291;0.003478;7.500000;0.000000
19.597955;-8.239650;65.373562;-1.003619;0.003242;7.500000;0.000000
19.797934;-8.132145;65.204910;-1.002994;0.003006;7.500000;0.000000
19.997914;-8.024544;65.036331;-1.002414;0.002950;7.500000;0.000000
20.197893;-7.916876;64.867873;-1.001751;0.003675;7.500000;0.000000
20.397872;-7.809079;64.699487;-1.000944;0.004400;7.500000;0.000000
20.597851;-7.701129;64.531186;-0.999992;0.005124;7.500000;0.000000
20.797830;-7.593000;64.362987;-0.998895;0.005848;7.500000;0.000000
20.997809;-7.484668;64.194904;-0.997653;0.006572;7.500000;0.000000
21.197788;-7.376107;64.026952;-0.996267;0.007295;7.500000;0.000000
21.397768;-7.267294;63.859145;-0.994735;0.008018;7.500000;0.000000
21.597747;-7.158202;63.691499;-0.993059;0.008740;7.500000;0.000000
21.797726;-7.048807;63.524029;-0.991239;0.009462;7.500000;0.000000
21.997705;-6.939092;63.356761;-0.989289;0.009446;7.500000;0.000000
22.197684;-6.829090;63.189722;-0.987692;0.006523;7.500000;0.000000
22.397663;-6.718864;63.022816;-0.986680;0.003601;7.500000;0.000000
22.597642;-6.608514;62.855985;-0.986251;0.000681;7.500000;0.000000
22.797622;-6.498142;62.689170;-0.986407;-0.002240;7.500000;0.000000
22.997601;-6.387851;62.522313;-0.987148;-0.005161;7.500000;0.000000
23.197580;-6.277741;62.355357;-0.988472;-0.008085;7.500000;0.000000
23.397559;-6.167914;62.188244;-0.990381;-0.011011;7.500000;0.000000
23.597538;-6.058473;62.020915;-0.992876;-0.013942;7.500000;0.000000
23.797517;-5.949519;61.853313;-0.995956;-0.016876;7.500000;0.000000
23.997496;-5.841129;61.685343;-0.999598;-0.018615;7.500000;0.000000
24.197475;-5.733285;61.516878;-1.003053;-0.015930;7.500000;0.000000
24.397455;-5.625996;61.348098;-1.005970;-0.013241;7.500000;0.000000
24.597434;-5.519166;61.179055;-1.008349;-0.010548;7.500000;0.000000
24.797413;-5.412701;61.009799;-1.010188;-0.007852;7.500000;0.000000
24.997392;-5.306505;60.840381;-1.011489;-0.005155;7.500000;0.000000
25.197371;-5.200484;60.670854;-1.012250;-0.002457;7.500000;0.000000
25.397350;-5.094542;60.501268;-1.012471;0.000241;7.500000;0.000000
25.597329;-4.988585;60.331676;-1.012153;0.002938;7.500000;0.000000
25.797309;-4.882516;60.162128;-1.011296;0.005633;7.500000;0.000000
25.997288;-4.776259;59.992702;-1.009921;0.007434;7.500000;0.000000
26.197267;-4.669798;59.823489;-1.008545;0.006338;7.500000;0.000000
26.397246;-4.563107;59.654387;-1.007387;0.005243;7.500000;0.000000
26.597225;-4.456227;59.485378;-1.006448;0.004149;7.500000;0.000000
26.797204;-4.349197;59.316442;-1.005728;0.003056;7.500000;0.000000
26.997183;-4.242058;59.147562;-1.005226;0.001963;7.500000;0.000000
27.197163;-4.134848;58.978718;-1.004942;0.000871;7.500000;0.000000
27.397142;-4.027609;58.809891;-1.004877;-0.000220;7.500000;0.000000
27.597121;-3.920378;58.641063;-1.005030;-0.001312;7.500000;0.000000
27.797100;-3.813197;58.472214;-1.005402;-0.002404;7.500000;0.000000
27.997079;-3.706094;58.303308;-1.005981;-0.003065;7.500000;0.000000
28.197058;-3.599068;58.134305;-1.006531;-0.002433;7.500000;0.000000
28.397037;-3.492133;57.965265;-1.006955;-0.001801;7.500000;0.000000
28.597016;-3.385268;57.796199;-1.007252;-0.001168;7.500000;0.000000
28.796996;-3.278451;57.627121;-1.007422;-0.000535;7.500000;0.000000
28.996975;-3.171660;57.458044;-1.007466;0.000098;7.500000;0.000000
29.196954;-3.064872;57.288981;-1.007383;0.000732;7.500000;0.000000
29.396933;-2.958066;57.119943;-1.007173;0.001365;7.500000;0.000000
29.596912;-2.851220;56.950945;-1.006837;0.001999;7.500000;0.000000
29.796891;-2.744313;56.781998;-1.006374;0.002633;7.500000;0.000000
29.996870;-2.637316;56.613106;-1.005793;0.002939;7.500000;0.000000
30.196850;-2.530210;56.444257;-1.005264;0.002355;7.500000;0.000000
30.396829;-2.423027;56.275461;-1.004851;0.001770;7.500000;0.000000
30.596808;-2.315784;56.106704;-1.004556;0.001186;7.500000;0.000000
30.796787;-2.208500;55.937969;-1.004377;0.000601;7.500000;0.000000
30.996766;-2.101191;55.769240;-1.004315;0.000017;7.500000;0.000000
31.196745;-1.993875;55.600502;-1.004370;-0.000568;7.500000;0.000000
31.396724;-1.886571;55.431740;-1.004542;-0.001152;7.500000;0.000000
31.596704;-1.779295;55.262937;-1.004831;-0.001736;7.500000;0.000000
31.796683;-1.672066;55.094077;-1.005237;-0.002319;7.500000;0.000000
31.996662;-1.564922;54.925178;-1.005752;-0.002653;7.500000;0.000000
32.196641;-1.457901;54.756280;-1.006255;-0.002378;7.500000;0.000000
32.396620;-1.350949;54.587313;-1.006703;-0.002104;7.500000;0.000000
32.596599;-1.244060;54.418288;-1.007096;-0.001830;7.500000;0.000000
32.796578;-1.137227;54.249214;-1.007435;-0.001557;7.500000;0.000000
32.996557;-1.030444;54.080103;-1.007719;-0.001284;7.500000;0.000000
33.196537;-0.923705;53.910966;-1.007948;-0.001011;7.500000;0.000000
33.396516;-0.817004;53.741813;-1.008123;-0.000738;7.500000;0.000000
33.596495;-0.710335;53.572655;-1.008244;-0.000465;7.500000;0.000000
33.796474;-0.603691;53.403502;-1.008309;-0.000192;7.500000;0.000000
33.996453;-0.497048;53.234335;-1.008325;-0.000072;7.500000;0.000000
34.196432;-0.390377;53.065118;-1.008362;-0.000302;7.500000;0.000000
34.396411;-0.283729;52.895914;-1.008446;-0.000532;7.500000;0.000000
34.596391;-0.177109;52.726714;-1.008575;-0.000762;7.500000;0.000000
34.796370;-0.070523;52.557511;-1.008750;-0.000992;7.500000;0.000000
34.996349;0.036024;52.388297;-1.008972;-0.001222;7.500000;0.000000
35.196328;0.142525;52.219062;-1.009239;-0.001452;7.500000;0.000000
35.396307;0.248976;52.049800;-1.009552;-0.001682;7.500000;0.000000
35.596286;0.355370;51.880500;-1.009911;-0.001911;7.500000;0.000000
35.796265;0.461703;51.711156;-1.010316;-0.002141;7.500000;0.000000
35.996245;0.567964;51.541764;-1.010771;-0.002480;7.500000;0.000000
36.196224;0.674140;51.372320;-1.011324;-0.003046;7.500000;0.000000
36.396203;0.780217;51.202803;-1.011989;-0.003613;7.500000;0.000000
36.596182;0.886176;51.033204;-1.012768;-0.004179;7.500000;0.000000
36.796161;0.991996;50.863512;-1.013661;-0.004746;7.500000;0.000000
36.996140;1.097656;50.693717;-1.014666;-0.005312;7.500000;0.000000
37.196119;1.203137;50.523809;-1.015786;-0.005879;7.500000;0.000000
37.396098;1.308418;50.353777;-1.017018;-0.006446;7.500000;0.000000
37.596078;1.413478;50.183611;-1.018364;-0.007013;7.500000;0.000000
37.796057;1.518297;50.013301;-1.019823;-0.007581;7.500000;0.000000
37.996036;1.622857;49.842837;-1.021350;-0.006827;7.500000;0.000000
38.196015;1.727188;49.672238;-1.022389;-0.003563;7.500000;0.000000
38.395994;1.831395;49.501568;-1.022775;-0.000299;7.500000;0.000000
38.595973;1.935591;49.330893;-1.022509;0.002966;7.500000;0.000000
38.795952;2.039888;49.160280;-1.021589;0.006231;7.500000;0.000000
38.995932;2.144398;48.989796;-1.020017;0.009495;7.500000;0.000000
39.195911;2.249233;48.819508;-1.017792;0.012758;7.500000;0.000000
39.395890;2.354507;48.649482;-1.014914;0.016021;7.500000;0.000000
39.595869;2.460330;48.479785;-1.011384;0.019281;7.500000;0.000000
39.795848;2.566815;48.310484;-1.007202;0.022537;7.500000;0.000000
39.995827;2.674049;48.141681;-1.002469;0.023076;7.500000;0.000000
40.195806;2.782023;47.973411;-0.998274;0.018885;7.500000;0.000000
40.395786;2.890645;47.805528;-0.994917;0.014697;7.500000;0.000000
40.595765;2.999771;47.637946;-0.992396;0.010513;7.500000;0.000000
40.795744;3.109259;47.470582;-0.990712;0.006332;7.500000;0.000000
40.995723;3.218964;47.303348;-0.989863;0.002152;7.500000;0.000000
41.195702;3.328742;47.136159;-0.989851;-0.002026;7.500000;0.000000
41.395681;3.438449;46.968930;-0.990674;-0.006206;7.500000;0.000000
