#x_m,y_m,w_tr_right_m,w_tr_left_m
-21.346584686636504,78.85966933023842,0.41555,1.690147316155264
-21.281534686636505,78.79461933023842,0.3505,1.7426114327007964
-20.761134686636503,78.79461933023842,0.41555,1.690147316155264
-20.696084686636503,78.72956933023842,0.3505,1.7426114327007964
-20.370834686636506,78.72956933023842,0.41555,1.690147316155264
-20.305784686636507,78.66451933023842,0.3505,1.7426114327007964
-20.045584686636502,78.66451933023842,0.40060994140819894,1.7039201262774921
-19.980534686636503,78.59946933023842,0.35374440915391386,1.7539737078404873
-19.720334686636505,78.59946933023842,0.41555,1.690147316155264
-19.655284686636506,78.53441933023842,0.35374440915391386,1.7374258152138937
-19.460134686636508,78.53441933023842,0.40060994140819894,1.690147316155264
-19.3950846866365,78.46936933023842,0.36338243871842124,1.7374258152138937
-19.264984686636502,78.46936933023842,0.40060994140819894,1.7039201262774921
-19.199934686636503,78.40431933023842,0.36338243871842124,1.7539737078404873
-19.069834686636504,78.40431933023842,0.40060994140819894,1.717598920747134
-19.004784686636505,78.33926933023841,0.35374440915391386,1.7570616179395306
-18.809634686636507,78.33926933023841,0.40060994140819894,1.681624162145789
-18.744584686636507,78.27421933023841,0.36973074067120437,1.717598920747134
-18.679534686636508,78.27421933023841,0.40060994140819894,1.6954558006881535
-18.6144846866365,78.20916933023841,0.36338243871842124,1.7363871071090586
-18.484384686636503,78.20916933023841,0.40060994140819894,1.681624162145789
-18.419334686636503,78.14411933023841,0.36973074067120437,1.717598920747134
-18.354284686636504,78.14411933023841,0.40060994140819894,1.6954558006881535
-18.289234686636505,78.07906933023841,0.36973074067120437,1.7363871071090586
-18.224184686636505,78.07906933023841,0.40060994140819894,1.7081389101603504
-18.159134686636506,78.01401933023841,0.36338243871842124,1.7363871071090586
-18.029034686636507,78.01401933023841,0.40060994140819894,1.678418512979496
-17.963984686636508,77.94896933023841,0.36973074067120437,1.7081389101603504
-17.898934686636508,77.94896933023841,0.40060994140819894,1.678418512979496
-17.8338846866365,77.88391933023841,0.36973074067120437,1.7081389101603504
-17.768834686636502,77.88391933023841,0.40060994140819894,1.678418512979496
-17.703784686636503,77.81886933023841,0.36973074067120437,1.7039201262774921
-17.638734686636504,77.81886933023841,0.40362333140679757,1.6666197611638098
-17.508634686636505,77.68876933023842,0.36973074067120437,1.709192222013613
-17.443584686636505,77.68876933023842,0.40060994140819894,1.678418512979496
-17.378534686636506,77.62371933023842,0.36973074067120437,1.7039201262774921
-17.313484686636507,77.62371933023842,0.40362333140679757,1.6666197611638098
-17.183384686636508,77.49361933023842,0.36973074067120437,1.7039201262774921
-17.1183346866365,77.49361933023842,0.40362333140679757,1.6666197611638098
-16.923184686636503,77.29846933023842,0.36973074067120437,1.7039201262774921
-16.858134686636504,77.29846933023842,0.40362333140679757,1.6666197611638098
-16.662984686636506,77.10331933023842,0.36973074067120437,1.7039201262774921
-16.597934686636506,77.10331933023842,0.40362333140679757,1.6666197611638098
-16.207634686636503,76.71301933023841,0.36973074067120437,1.7207424161678795
-16.142584686636503,76.71301933023841,0.40362333140679757,1.6778837329959515
-15.687234686636508,76.25766933023841,0.36973074067120437,1.7238810291121363
-15.622184686636508,76.25766933023841,0.40362333140679757,1.6778837329959515
-14.776534686636502,75.41201933023842,0.38995944174277375,1.6778837329959515
-14.776534686636502,75.34696933023842,0.34396214562658883,1.7207424161678795
-14.516334686636505,75.08676933023841,0.391490985118389,1.678418512979496
-14.516334686636505,75.02171933023841,0.3505,1.7207424161678795
-14.321184686636506,74.82656933023841,0.391490985118389,1.682691560102075
-14.321184686636506,74.76151933023841,0.3505,1.7207424161678795
-14.126034686636508,74.56636933023842,0.391490985118389,1.682691560102075
-14.126034686636508,74.50131933023842,0.3505,1.7207424161678795
-13.995934686636502,74.37121933023842,0.391490985118389,1.6858903116738344
-13.995934686636502,74.30616933023842,0.3505,1.7207424161678795
-13.865834686636504,74.17606933023842,0.391490985118389,1.6858903116738344
-13.865834686636504,74.11101933023842,0.3505,1.7207424161678795
-13.735734686636505,73.98091933023842,0.38995944174277375,1.6858903116738344
-13.735734686636505,73.91586933023842,0.34396214562658883,1.7207424161678795
-13.540584686636507,73.72071933023841,0.391490985118389,1.682691560102075
-13.540584686636507,73.65566933023841,0.3505,1.7207424161678795
-13.475534686636507,73.59061933023841,0.36973074067120437,1.7039201262774921
-13.475534686636507,73.52556933023841,0.34066820000683656,1.7363871071090586
